"filename", "language", "JSON", "XML", "JavaScript", "Markdown", "HTML", "SCSS", "Ruby", "TypeScript", "YAML", "comment", "blank", "total"
"c:\Users\juliu\Documents\KBSE\Minimal22\.angulardoc.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\juliu\Documents\KBSE\Minimal22\.github\workflows\ionicBuild.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 77, 5, 5, 87
"c:\Users\juliu\Documents\KBSE\Minimal22\angular.json", "JSON", 110, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 193
"c:\Users\juliu\Documents\KBSE\Minimal22\capacitor.config.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\config.xml", "XML", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 1, 130
"c:\Users\juliu\Documents\KBSE\Minimal22\e2e\protractor.conf.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\juliu\Documents\KBSE\Minimal22\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\juliu\Documents\KBSE\Minimal22\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\juliu\Documents\KBSE\Minimal22\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\juliu\Documents\KBSE\Minimal22\google-services.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\juliu\Documents\KBSE\Minimal22\ionic.config.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\juliu\Documents\KBSE\Minimal22\karma.conf.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 2, 32
"c:\Users\juliu\Documents\KBSE\Minimal22\package-lock.json", "JSON", 20840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20841
"c:\Users\juliu\Documents\KBSE\Minimal22\package.json", "JSON", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151
"c:\Users\juliu\Documents\KBSE\Minimal22\resources\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\juliu\Documents\KBSE\Minimal22\resources\android\xml\network_security_config.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\juliu\Documents\KBSE\Minimal22\scripts\addGoogleServiceToXcode.rb", "Ruby", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 0, 15
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Classess\map\map.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Classess\map\map.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 229, 0, 0, 32, 261
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\button-overlay\button-overlay.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\button-overlay\button-overlay.component.scss", "SCSS", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 6, 97
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\button-overlay\button-overlay.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\button-overlay\button-overlay.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 8, 55
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\components.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
